"","D0N","D1N","J1N","D0S","D1S","J1S","D0L","D1L","J1L"
"CRUK0448",1.91626638852269,1.82072734547771,0.927491164221626,2.80056497161526,2.52876683896701,0.915548642463025,2.04601426220556,1.94446084988449,0.929676266127566
"CRUK0415",1.99419732887942,1.6549767657318,0.732299357532058,2.30039423095402,1.90140133096748,0.756483043091418,2.0331377049402,1.68136991812533,0.728178988992848
"CRUK0434",2.00074143540259,1.97868708659293,0.988373769967675,2.31358776331041,2.25086694924435,0.982382115779682,2.05960215715498,2.01776626810279,0.977446434341922
"CRUK0592",1.94670969527844,1.80912266316024,0.894252472716137,2.26668598204301,2.07910807142192,0.91077663892018,1.96697140922547,1.82386355080642,0.891021813231772
"CRUK0518",1.03358981396898,1.02570041602453,0.991750740661563,1.21345779497646,1.11448638572704,0.946846641622151,1.03893576638383,1.03129867075347,0.993362011563932
"CRUK0696",1.91794297409236,1.69738239133564,0.824513285723061,2.89049013670966,2.45281580119777,0.846953716253259,2.04099626679213,1.79374305694162,0.815516811834889
"CRUK0638",1.98940709596159,1.69356463548069,0.767743374376388,2.14012997814457,1.78254005478152,0.761418590560932,1.9905771685175,1.69455848397728,0.767745350130186
"CRUK0745",2.55646270224807,1.93432286566967,0.738754462781663,5.74606078535128,3.78483695661141,0.743518351296523,3.17339843345536,2.33698508848739,0.729983141222604
"CRUK0045",1.98743694757958,1.98743694757958,1,1.98743694757958,1.98743694757958,1,1.98743694757958,1.98743694757958,1
"CRUK0076",1.97296492023429,1.95969162287617,0.993648899783139,2.43072421828993,2.31522404755227,0.973927745060512,1.989761725173,1.97504446361029,0.992970772775871
"CRUK0085",1.99154509012466,1.60585894368949,0.68951441907237,2.07237586990318,1.66332624420965,0.691237692394106,1.99534245429883,1.60865194853522,0.689296782952559
"CRUK0071",1.99583581688537,1.56486982112621,0.649552554115711,2.1148256444521,1.64002152086756,0.65898519400379,2.01952404091178,1.57832967175846,0.647050197813633
"CRUK0066",1.84678823623227,1.67769825488025,0.861464813095591,3.05084149088419,2.61868432595663,0.842425868124293,2.07710273331873,1.83702142662324,0.829105501581003
"CRUK0080",1.94647553534578,1.93534793760393,0.991728745954447,1.99787476475678,1.97182659604494,0.985154969739467,1.94647553534578,1.93534793760393,0.991728745954447
"CRUK0017",1.84688510965669,1.63033406014831,0.820084847003328,2.79018119376533,2.39403174945589,0.828311338885113,1.88109517944479,1.64752410930671,0.808794779912528
"CRUK0068",1.86078884666683,1.83285276429558,0.97817654214244,2.88880045060668,2.65490213466093,0.948459530717487,2.0386546009036,1.99821738112441,0.973023814389684
"CRUK0032",2.00508479822326,2.0012634900174,0.997938825271965,2.25358759392747,2.21609303725051,0.991656332469762,2.07765448922104,2.06874779953251,0.996655942678673
"CRUK0072",1.93991428637806,1.7822090142947,0.877741471650182,2.34331712642048,2.0701435600375,0.857248218214191,1.9733565085782,1.81246765682318,0.877488520244195
"CRUK0043",1.02061934443404,1.02012816145486,0.99930552186406,1.14465963698812,1.12969711860343,0.984894929639328,1.02061934443404,1.02012816145486,0.99930552186406
"CRUK0157",3.95886132912722,3.62320477008683,0.935766483787778,3.97196690758317,3.63356496655411,0.935532430340874,3.96465010084967,3.6283544177279,0.93572927663778
"CRUK0084",2.99505173917825,2.99492120645442,0.999960328366527,2.99505173924237,2.99492120649683,0.999960328370408,2.99505173921509,2.99492120648331,0.999960328364114
"CRUK0012",1.01703704565122,1.01400161922589,0.995687725707074,1.15021767685836,1.13070273473843,0.981373851364576,1.01703704565122,1.01400161922589,0.995687725707074
"CRUK0033",1,1,1,1,1,1,1,1,1
